title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Blumenweg Horneggli (Rundwanderung)'],['easy'],['Thematic route'],2.7km,01:00h,101hm,"1,767 - 1,868m",rating-2,rating-2,131614
['Auf den Napf – Rigi des Emmentals'],[],['Hiking'],15.61km,05:10h,659hm,"877 - 1,394m",rating-,rating-0,100449
"['Helsana Trail: Gstaad – Saanen - Gstaad, blau']",['easy'],['Trailrunning'],6.48km,01:00h,36hm,"1,010 - 1,046m",rating-1,rating-2,211595
['Harder Kulm Rundweg'],['easy'],['Hiking'],2.78km,01:02h,154hm,"1,293 - 1,443m",rating-1,rating-2,131161
['Fit mit Genuss'],['medium'],['Nordic Walking'],4.88km,01:30h,263hm,"1,840 - 2,003m",rating-3,rating-3,114497
['Lötschberger-Nordrampe'],['medium'],['Hiking'],17.25km,04:50h,238hm,"779 - 1,205m",rating-3,rating-3,744928
['Boltigen - Feuersteini - Rossberg - Pfaffenried - Boltigen'],['easy'],['Cycling'],15.91km,01:25h,405hm,"797 - 1,136m",rating-1,rating-2,717203
['Erlebnisweg Grimmimutz  - Grimmialp'],['easy'],['Thematic route'],4.22km,01:30h,200hm,"1,224 - 1,421m",rating-2,rating-2,66023
['Bergsee-Paradies am Stockhorn'],['medium'],['Hiking'],6.17km,02:20h,430hm,"1,596 - 1,798m",rating-3,rating-3,48808
['Cable car to Wispile. Walk to Lauenensee'],['easy'],['Hiking'],9.58km,02:15h,142hm,"1,381 - 1,920m",rating-2,rating-2,247242
['Sieben Hengste'],['difficult'],['Hiking'],14.44km,05:05h,985hm,"1,041 - 1,947m",rating-5,rating-5,617761
['Blausee'],['easy'],['Hiking'],11.53km,03:20h,315hm,"888 - 1,186m",rating-1,rating-1,744917
['Rundwanderung Tellenburg Frutigen'],['easy'],['Hiking'],8.17km,02:10h,230hm,773 - 904m,rating-1,rating-2,50976
['Üschenen Biketour'],['medium'],['Mountainbike'],23.88km,02:55h,835hm,"1,171 - 1,975m",rating-,rating-4,698705
['Der Ringweg am kleinen Rugen'],['easy'],['Thematic route'],3.35km,00:58h,84hm,572 - 655m,rating-1,rating-2,296938
['Blueme III'],['medium'],['Mountainbike'],26.93km,03:00h,"1,320hm","566 - 1,392m",rating-3,rating-4,133928
"['Auf den Bantiger, der Stadtnahe Aussichtsberg']",[],['Hiking'],9.44km,03:00h,433hm,609 - 944m,rating-,rating-0,84519
['Von SAC Grubenberghütte via Pertet à Bovets nach Rougemont'],['medium'],['Hiking'],15.2km,05:00h,630hm,"1,000 - 1,908m",rating-3,rating-3,616567
"[""Walk to L'Etivaz""]",['medium'],['Hiking'],18.87km,05:00h,"1,251hm","1,043 - 1,909m",rating-,rating-4,225655
['Gasterntal Biketour'],['medium'],['Mountainbike'],23.75km,03:20h,460hm,"1,170 - 1,630m",rating-,rating-4,698704
['Schönried Ermitage Gruben Runde'],['easy'],['Hiking'],4.62km,01:20h,140hm,"1,153 - 1,264m",rating-1,rating-1,707177
['Über dem Thunersee schweben'],['easy'],['Hiking'],4.77km,01:48h,282hm,573 - 853m,rating-2,rating-2,114266
['E-Bike Tour entlang der Diemtigtaler Hauswege'],['medium'],['Cycling'],43.09km,03:00h,"1,103hm","669 - 1,270m",rating-,rating-3,823060
['Vogellisi Berglauf - Strecke'],['medium'],['Trailrunning'],12.57km,02:29h,853hm,"1,274 - 2,027m",rating-,rating-4,599069
['Adelboden - Hahnenmoos'],['medium'],['Hiking'],8.16km,02:30h,670hm,"1,295 - 1,950m",rating-2,rating-3,133081
['St. Stephan Loop'],['difficult'],['Mountainbike'],30.56km,03:15h,920hm,"934 - 1,836m",rating-5,rating-6,850762
['Gantrisch-Fribourg-Weg: Rüeggisberg - Schwarzenburg'],['easy'],['Pilgrimage'],10.37km,02:53h,189hm,703 - 929m,rating-,rating-1,311562
['Freeride Tour Sunnbüel'],['medium'],['Mountainbike'],4.64km,00:20h,737hm,"1,195 - 1,932m",rating-,rating-3,678610
['Wildrosen Wanderung'],['easy'],['Thematic route'],7.15km,02:15h,322hm,"1,081 - 1,403m",rating-1,rating-2,298943
['Wilderswil - Zweilütschinen'],['easy'],['Hiking'],6.04km,01:34h,83hm,584 - 667m,rating-1,rating-2,131151
['Panoramatrail Faltschen'],['medium'],['Mountainbike'],29.01km,02:30h,846hm,"692 - 1,223m",rating-2,rating-3,172154
['Rundtour auf abenteuerlichen Wegen'],['medium'],['Hiking'],5.9km,03:00h,630hm,"1,357 - 1,919m",rating-4,rating-3,586723
['Bänkli-Rundweg Aeschi bei Spiez'],['easy'],['Thematic route'],7.38km,02:13h,255hm,"847 - 1,122m",rating-2,rating-2,78168
"['Rund um den Thunersee, Merligen-Interlaken West']",[],['Hiking'],13.02km,03:57h,257hm,558 - 728m,rating-,rating-0,159602
['Schönried Ermitage Rellerli Panoramawanderung'],['medium'],['Hiking'],11.33km,04:00h,645hm,"1,222 - 1,861m",rating-2,rating-4,595654
['An stolzen Bauernsitzen vorüber durch den südlichen Oberaargau'],['medium'],['Hiking'],14.41km,04:00h,550hm,585 - 834m,rating-2,rating-3,50425
['Lenk - Metsch - Metschmaad - Bühlberg - Lenk'],['easy'],['Cycling'],12.48km,01:40h,591hm,"1,068 - 1,659m",rating-1,rating-2,691505
['Rundtour über den Rüwlispass - Hornberg ins Saanenland und retour'],['medium'],['Cycling'],31.82km,03:25h,950hm,"934 - 1,836m",rating-2,rating-4,700232
['Port-Libige'],['easy'],['Hiking'],6.5km,02:05h,269hm,"1,169 - 1,437m",rating-2,rating-2,744929
['Höhenweg Entlebuch Emmental - Etappe 5: Grosshorben – Schangnau'],[],['Hiking'],5.16km,01:45h,196hm,"928 - 1,415m",rating-,rating-0,162712
['Course de la solidarité'],[],['Trailrunning'],10.22km,01:40h,100hm,801 - 894m,rating-,rating-0,199823
['Höh'],['medium'],['Hiking'],5.3km,02:00h,141hm,"1,170 - 1,310m",rating-3,rating-3,744918
['Üschenen Biketour'],['medium'],['Mountainbike'],23.88km,02:55h,835hm,"1,171 - 1,975m",rating-,rating-4,698705
['Boltigen - Feuersteini - Rossberg - Pfaffenried - Boltigen'],['easy'],['Cycling'],15.91km,01:25h,405hm,"797 - 1,136m",rating-1,rating-2,717203
['Matten - Gfell - St. Stephan - Matten'],['easy'],['Cycling'],11.25km,01:20h,476hm,"994 - 1,467m",rating-1,rating-2,700218
['Via Alpina: Lenk - Gstaad'],['difficult'],['Hiking'],21.6km,07:30h,994hm,"1,049 - 2,059m",rating-2,rating-6,131685
['Zu den Engstligen-Fällen'],['easy'],['Hiking'],7.18km,01:30h,217hm,"1,232 - 1,428m",rating-1,rating-2,133079
"['Von Alpiglen via Eigertrail, Klettersteig Rotstock und Eigergletscher nach Kleine Scheidegg']",['medium'],['Via ferrata'],10.3km,05:00h,"1,115hm","1,615 - 2,662m",rating-3,rating-2,752896
['Höhenweg Entlebuch Emmental - Etappe 3: Turner - Trubschachen'],[],['Hiking'],6.76km,01:52h,3hm,"732 - 1,165m",rating-,rating-0,162740
['Walk to Lenk'],['medium'],['Hiking'],14.37km,04:00h,707hm,"1,070 - 1,969m",rating-2,rating-3,224315
['Rundwanderung Tellenburg Frutigen'],['easy'],['Hiking'],8.17km,02:10h,230hm,773 - 904m,rating-1,rating-2,50976
['Kinderwagenrundweg Grimmialp'],['easy'],['Hiking'],5.46km,01:45h,123hm,"1,163 - 1,274m",rating-1,rating-1,316230
['E-Bike Elsigen-Metsch'],['medium'],['Cycling'],24.82km,03:20h,"1,000hm","1,196 - 1,814m",rating-4,rating-3,836971
['Habkern die kleine Perle im Berner Oberland'],[],['Hiking'],9.12km,03:30h,634hm,"1,071 - 1,699m",rating-,rating-0,114254
['Anspruchsvoller Genuss: Gipfeltour zum Trogenhorn'],['medium'],['Hiking'],11.42km,04:50h,"1,090hm","1,039 - 1,969m",rating-4,rating-4,162940
['Albert Schweitzer Weg'],['easy'],['Thematic route'],4.81km,01:45h,121hm,"1,163 - 1,284m",rating-1,rating-2,292891
['Strade Bianche di Simmental'],['difficult'],['Racing'],78.66km,07:00h,"1,750hm","673 - 1,852m",rating-2,rating-5,131764
['Schönried Ermitage Rellerli Panoramawanderung'],['medium'],['Hiking'],11.33km,04:00h,645hm,"1,222 - 1,861m",rating-2,rating-4,595654
['Geissewäg – die Wasen-Genusstour (Vorderarniwäg)'],['medium'],['Thematic route'],12.32km,03:47h,458hm,"752 - 1,135m",rating-2,rating-3,275647
['Gemmipass Biketour'],['medium'],['Mountainbike'],26.73km,02:55h,500hm,"1,170 - 2,335m",rating-,rating-4,698708
['Holz-Skulpturenweg - Frutigen'],['medium'],['Thematic route'],9.56km,02:45h,134hm,779 - 913m,rating-3,rating-2,108674
['Über den Napf zu den Änzilochmannen'],['medium'],['Hiking'],10.71km,04:00h,780hm,"989 - 1,394m",rating-3,rating-3,67238
"['Swiss Trail Tour Lenk, Strecke Ultra, Samstag 2019']",['difficult'],['Trailrunning'],46.54km,09:38h,"2,372hm","1,010 - 2,108m",rating-4,rating-6,482340
['Durchs Waldland am Gurnigel'],['medium'],['Hiking'],15.94km,05:00h,"1,000hm","766 - 1,592m",rating-3,rating-4,57567
['Blümlisalp-Lauf - Stecke'],['medium'],['Running'],15.94km,05:05h,886hm,"706 - 1,409m",rating-4,rating-0,891249
['Biel/Bienne - Ins'],['easy'],['Long distance cycling'],31.43km,02:09h,29hm,430 - 460m,rating-1,rating-1,177067
['Stockental Route'],['medium'],['Cycling'],40.62km,02:30h,376hm,553 - 740m,rating-1,rating-3,172140
['Lenk - Gibel - Guggernäll - Abstecher zum Laubbärgli - Lenk'],['easy'],['Cycling'],19.07km,02:05h,822hm,"1,068 - 1,848m",rating-1,rating-1,700217
['Auf den Jolimont zur Tüfelsburdi'],[],['Hiking'],9.84km,02:30h,194hm,465 - 603m,rating-,rating-0,101687
['Interlaken - Ringgenberg - Roteflue - Harder Kulm'],['difficult'],['Hiking'],11.92km,05:30h,"1,192hm","564 - 1,756m",rating-2,rating-5,131163
['Gstaad-Wasserngrat-Turnels-Gstaad (Nr. 25)'],['difficult'],['Trailrunning'],16.64km,03:45h,"1,146hm","1,051 - 2,196m",rating-6,rating-6,294660
['Über sieben Brücken im Kiesen- und Aaretal'],[],['Hiking'],9.31km,02:10h,57hm,537 - 588m,rating-,rating-0,114210
['Matten - Gfell - St. Stephan - Matten'],['easy'],['Cycling'],11.25km,01:20h,476hm,"994 - 1,467m",rating-1,rating-2,700218
['Lötschberger-Nordrampe'],['medium'],['Hiking'],17.25km,04:50h,238hm,"779 - 1,205m",rating-3,rating-3,744928
['St. Stephan - Rüwlispass - Gstaad - Saanenmöser - St. Stephan'],['medium'],['Cycling'],38.14km,03:50h,"1,055hm","934 - 1,724m",rating-2,rating-4,700226
['Rund um den Etang de la Gruère'],['medium'],['Hiking'],14.83km,03:45h,350hm,"982 - 1,098m",rating-2,rating-3,51349
['Adelboden - Hahnenmoos'],['medium'],['Hiking'],8.16km,02:30h,670hm,"1,295 - 1,950m",rating-2,rating-3,133081
['Durch die malerische Cholereschlucht'],['medium'],['Hiking'],12.32km,04:00h,729hm,"573 - 1,113m",rating-3,rating-4,48958
['Rundtour über den Rüwlispass - Hornberg ins Saanenland und retour'],['medium'],['Cycling'],31.82km,03:25h,950hm,"934 - 1,836m",rating-2,rating-4,700232
['Über dem Thunersee schweben'],['easy'],['Hiking'],4.77km,01:48h,282hm,573 - 853m,rating-2,rating-2,114266
['Von Axalp via Faulhorn nach Burglauenen'],['difficult'],['Hiking'],18.5km,06:30h,"1,350hm","895 - 2,681m",rating-4,rating-4,616543
['Auf Panoramawegen durchs Bipperamt'],['medium'],['Hiking'],16.53km,05:15h,862hm,"636 - 1,215m",rating-3,rating-4,51213
"['Rund um den Jolimont, den hübschen Hügel']",['medium'],['Hiking'],9.42km,02:40h,250hm,435 - 603m,rating-2,rating-3,67762
['Fiiroberundi'],['easy'],['Mountainbike'],16.43km,01:01h,329hm,552 - 748m,rating-2,rating-3,619277
['Lauterbrunnen - Schilthorn'],['medium'],['Hiking'],15.2km,06:00h,"2,190hm","855 - 2,970m",rating-3,rating-5,895528
['Chastalet-Rundweg'],['medium'],['Thematic route'],6.5km,02:30h,341hm,"1,175 - 1,511m",rating-3,rating-4,131636
['Honegg inkl. Offroad'],['medium'],['Hiking'],12.08km,03:10h,569hm,"955 - 1,499m",rating-4,rating-4,568353
['Vom Brienzer Rothorn bis Interlaken'],['difficult'],['Hiking'],21.78km,07:54h,"1,084hm","1,288 - 2,273m",rating-6,rating-5,529960
['Von Guttannen zum Triftgletscher'],['difficult'],['Hiking'],16.11km,06:13h,"1,602hm","960 - 2,571m",rating-3,rating-4,419178
['Via Alpina 1 / GR5 - Von Chamonix durch die Schweiz nach Vorarlberg'],['difficult'],['long-distance walking trail'],500km,13:00h,"30,000hm","370 - 2,755m",rating-2,rating-6,444085
['Zweisimmen-Leiterli-Betelberg-Lenk'],['medium'],['Hiking'],18.05km,04:35h,586hm,"1,688 - 2,070m",rating-3,rating-3,479715
['Einigen'],['easy'],['Hiking'],5.91km,01:33h,146hm,562 - 649m,rating-2,rating-2,597809
['Alp Laueli'],['medium'],['Hiking'],5.78km,02:30h,430hm,"1,232 - 1,663m",rating-3,rating-3,698712
['Schönrieder Trainingsrunde'],[],['Mountainbike'],14.76km,02:46h,715hm,"1,222 - 1,584m",rating-,rating-0,592483
['WEN-WEX - Giessbach - Giessbachwasserfäll - Iseltwald'],['medium'],['Hiking'],9.07km,03:13h,511hm,"565 - 1,075m",rating-,rating-4,586307
['Eggweid - Simmegrund - Zweisimmen'],['easy'],['Hiking'],8.31km,02:15h,23hm,"942 - 1,478m",rating-1,rating-2,131607
['Diemtigen-Latterbach-Erlenbach-Diemtigen'],['medium'],['Mountainbike'],22.93km,02:02h,760hm,"638 - 1,022m",rating-3,rating-3,563504
['Brienzer Rothorn'],['medium'],['Hiking'],11.31km,03:08h,29hm,"585 - 2,243m",rating-2,rating-2,473731
['WEN-DW - Axalp - Schnitzlerweg - Hinterburgseeli'],['easy'],['Thematic route'],6.27km,02:15h,348hm,"1,507 - 1,723m",rating-,rating-2,594408
['Lötschberg - Jura Etappe 1 Kandersteg - Frutigen - Reichenbach'],[],['Cycling'],18.16km,01:15h,380hm,"706 - 1,186m",rating-,rating-0,870925
['Jaunpass'],['easy'],['Snowshoe'],8.12km,02:52h,233hm,"1,512 - 1,675m",rating-2,rating-3,528182
['Durch das Lauterbrunnental'],['easy'],['Hiking'],24km,03:09h,223hm,802 - 958m,rating-2,rating-3,575440
['Hotel Wetterhorn - Vitaparcour - Rundweg'],['easy'],['Hiking'],3.35km,01:17h,119hm,"1,227 - 1,325m",rating-1,rating-2,615550
"['JW für Radfahrer ""Luzernerweg"": Burgdorf - Tromwil (Rüeggisberg)']",['difficult'],['Cycling'],46.62km,04:15h,"1,233hm",508 - 937m,rating-5,rating-4,156903
['Jerusalemweg: Amsoldingen - Interlaken'],['difficult'],['Pilgrimage'],29.66km,08:15h,566hm,558 - 732m,rating-1,rating-6,131304
['nördlicher Oberaargau'],['medium'],['Cycling'],31.74km,03:18h,615hm,416 - 933m,rating-3,rating-3,611000
['Trailrunning Eggli (Gstaad)'],['easy'],['Trailrunning'],7.29km,01:45h,533hm,"1,026 - 1,557m",rating-2,rating-2,274936
['Lötschberg - Jura Etappe 1 Kandersteg - Frutigen - Reichenbach'],[],['Cycling'],18.16km,01:15h,380hm,"706 - 1,186m",rating-,rating-0,870925
['Schallenberg Rundtour'],['easy'],['Hiking'],3.34km,00:54h,144hm,"1,141 - 1,307m",rating-1,rating-1,511921
['Wasserscheide - Gantrisch Seeli'],['easy'],['Hiking'],9.5km,02:25h,428hm,"1,313 - 1,620m",rating-2,rating-2,485966
['Mountainbike Rundtour Altbüron'],['difficult'],['Mountainbike'],32.04km,03:26h,665hm,440 - 768m,rating-5,rating-5,619585
['Walk from Manor Farm campsite (Unterseen) to Interlaken'],['easy'],['Hiking'],4.26km,00:51h,60hm,556 - 614m,rating-1,rating-1,471070
['Wandern auf der Grimmialp'],['easy'],['Hiking'],8.11km,02:36h,165hm,"1,222 - 1,843m",rating-,rating-2,311557
['Anstieg Bachlitalhutte'],['easy'],['Hiking'],4.59km,01:49h,573hm,"1,768 - 2,310m",rating-2,rating-2,685879
['Um den Gelmersee zur Gelmerhütte'],['medium'],['Hiking'],9.14km,03:39h,640hm,"1,832 - 2,416m",rating-3,rating-4,441750
['Via Alpina 1 / GR5 - Von Chamonix durch die Schweiz nach Vorarlberg'],['difficult'],['long-distance walking trail'],500km,13:00h,"30,000hm","370 - 2,755m",rating-2,rating-6,444085
['Morgenberghorn'],['medium'],['Hiking'],9.73km,03:41h,876hm,"1,425 - 2,228m",rating-3,rating-4,468862
['Natura Trail Chasseral - 2'],['medium'],['Thematic route'],11.66km,08:00h,630hm,"1,008 - 1,607m",rating-,rating-4,75548
"['Daytrip Bundalp, Kiental to Obere Dünde, Griesalp, Bundalp']",['medium'],['Hiking'],9.21km,03:23h,669hm,"1,419 - 2,005m",rating-3,rating-4,439557
['Auf der HarderKulm'],['medium'],['Hiking'],6.84km,01:49h,57hm,"1,334 - 1,875m",rating-2,rating-4,471359
['Kandersteg nach Leukerbad'],['medium'],['Hiking'],8.3km,02:40h,381hm,"1,872 - 2,213m",rating-2,rating-4,478945
['Napf im Emmental'],['easy'],['Hiking'],7.12km,01:58h,377hm,"1,041 - 1,403m",rating-3,rating-4,607631
['Oeschiwald-Rundweg'],['easy'],['Hiking'],2.89km,00:46h,58hm,"1,171 - 1,227m",rating-,rating-1,733532
['Schönried Ermitage Horeflue auf unbekannten Wegen'],['medium'],['Hiking'],11.24km,04:07h,719hm,"1,227 - 1,948m",rating-,rating-3,610120
['Solothurn - Biel/Bienne'],['easy'],['Long distance cycling'],30.59km,01:13h,16hm,427 - 434m,rating-1,rating-1,185709
['Emmentaler Bauernlehrpfad Emmental'],['easy'],['Thematic route'],7.63km,02:09h,162hm,599 - 757m,rating-1,rating-2,361155
['Klusi - Wasserfall - Gaggi Säge'],['medium'],['Hiking'],4.33km,01:45h,227hm,"1,132 - 1,392m",rating-1,rating-3,614058
['Wunderbare Höhewanderung'],['medium'],['Hiking'],17.59km,04:43h,"1,251hm","1,434 - 2,609m",rating-4,rating-5,699632
"['JW für Radfahrer ""Luzernerweg"": Burgdorf - Tromwil (Rüeggisberg)']",['difficult'],['Cycling'],46.62km,04:15h,"1,233hm",508 - 937m,rating-5,rating-4,156903
['Bipper-Jura mit Aussicht'],['easy'],['Cycling'],12.94km,01:02h,226hm,462 - 694m,rating-1,rating-1,613233
['Morgenberghorn'],['medium'],['Hiking'],9.73km,03:41h,876hm,"1,425 - 2,228m",rating-3,rating-4,468862
"['Auf den Napf ,Kurzstrecke']",['medium'],['Hiking'],7.45km,02:03h,386hm,"1,040 - 1,406m",rating-2,rating-2,474967
['Mettlen-Napf-Schindelegg'],['medium'],['Mountainbike'],8.21km,01:00h,410hm,"1,040 - 1,400m",rating-4,rating-3,561474
['Frutigen Übleberg'],['difficult'],['Mountainbike'],10.83km,01:29h,744hm,"805 - 1,548m",rating-4,rating-5,575552
['Einigen'],['easy'],['Hiking'],5.91km,01:33h,146hm,562 - 649m,rating-2,rating-2,597809
['Schönried - Feutersoey - Blattipass - Arnensee - Schönried'],[],['Mountainbike'],42.62km,05:12h,"1,136hm","1,016 - 1,912m",rating-,rating-0,595655
['Bergstation Nüegg'],['easy'],['Hiking'],9.44km,02:11h,360hm,"1,080 - 1,420m",rating-2,rating-3,561387
['Schönried Ermitage Horeflue auf unbekannten Wegen'],['medium'],['Hiking'],11.24km,04:07h,719hm,"1,227 - 1,948m",rating-,rating-3,610120
['Gstaad – Arnensee - Gstaad'],['medium'],['Cycling'],29.15km,02:30h,595hm,"1,041 - 1,545m",rating-3,rating-4,421194
['Brienzer Rothorn'],['medium'],['Hiking'],11.31km,03:08h,29hm,"585 - 2,243m",rating-2,rating-2,473731
['Walk from Manor Farm campsite (Unterseen) to Interlaken'],['easy'],['Hiking'],4.26km,00:51h,60hm,556 - 614m,rating-1,rating-1,471070
['1x Meringue und zurück'],['medium'],['Cycling'],65.89km,08:00h,937hm,"697 - 1,317m",rating-4,rating-4,69538
['Oeschiwald-Rundweg'],['easy'],['Hiking'],2.89km,00:46h,58hm,"1,171 - 1,227m",rating-,rating-1,733532
['Pioneer trail'],['medium'],['Hiking'],27.51km,08:00h,628hm,"761 - 1,556m",rating-3,rating-2,63319
['GrimmialpBike'],['medium'],['Mountainbike'],18.48km,02:45h,662hm,"1,126 - 1,459m",rating-3,rating-2,287887
['Tour Chasseral'],['medium'],['E-Bike'],43.6km,02:36h,"1,250hm","686 - 1,598m",rating-3,rating-6,616971
['Axalp - Tschingel- Axalphorn- Axalp'],['medium'],['Hiking'],13.93km,05:09h,866hm,"1,462 - 2,285m",rating-3,rating-5,709461
['Klettersteig Gantrisch'],['medium'],['Hiking'],6.75km,01:35h,549hm,"1,608 - 2,153m",rating-3,rating-3,735243
['Schwarzenburg - Riffenmatt'],['medium'],['Hiking'],9.36km,02:42h,567hm,"789 - 1,287m",rating-3,rating-3,584818
['Mettlen-Napf-Schindelegg'],['medium'],['Mountainbike'],8.21km,01:00h,410hm,"1,040 - 1,400m",rating-4,rating-3,561474
['Oberhalb Hasliberg Hohfluh Rundtour'],['easy'],['Hiking'],8.46km,01:56h,505hm,"1,133 - 1,544m",rating-2,rating-3,586143
['Natura Trail Chasseral - 1'],['medium'],['Thematic route'],8.15km,04:00h,467hm,"822 - 1,289m",rating-,rating-4,75549
['Anstieg Trifthutte von KWO-bahn'],['medium'],['High tour'],7.38km,03:20h,"1,186hm","1,356 - 2,514m",rating-3,rating-3,691256
['Elebnisweg Bruchmandli - Jaunpass'],['easy'],['Thematic route'],0.85km,00:30h,30hm,"1,504 - 1,531m",rating-1,rating-1,57157
['Hasliberg Tschorren Feldmoos Brünig'],['medium'],['Hiking'],12.78km,02:24h,555hm,"979 - 1,351m",rating-2,rating-4,588689
"['JW für Radfahrer ""Luzernerweg"": Burgdorf - Tromwil (Rüeggisberg)']",['difficult'],['Cycling'],46.62km,04:15h,"1,233hm",508 - 937m,rating-5,rating-4,156903
['Tour de France 2016 Teiletappe Bern-Gstaad'],['difficult'],['Racing'],88.65km,04:50h,"1,024hm","503 - 1,280m",rating-6,rating-6,887156
['Hangendgletcherhorn via Chammligrat'],['medium'],['High tour'],10.01km,04:56h,"1,098hm","2,189 - 3,265m",rating-1,rating-4,689628
['Erholungsgebiet Oeschiwald'],['easy'],['Hiking'],2.89km,01:00h,86hm,"1,180 - 1,267m",rating-2,rating-2,744925
['E-Bike La Neuveville'],['easy'],['Cycling'],26.23km,02:00h,569hm,430 - 878m,rating-2,rating-2,69540
['Baumrütibächli-Weg Oeschenbach'],['easy'],['Hiking'],3.57km,00:47h,84hm,648 - 731m,rating-1,rating-1,573725
"['Swiss Trail Tour Lenk, Strecke Tour, Freitag 2019']",['medium'],['Trailrunning'],26.75km,05:19h,"1,188hm","1,065 - 2,086m",rating-3,rating-4,482331
['Skulpturenweg Krattigen'],['easy'],['Thematic route'],1.3km,00:26h,39hm,777 - 816m,rating-1,rating-1,289402
['Hotel Wetterhorn - Vitaparcour - Rundweg'],['easy'],['Hiking'],3.35km,01:17h,119hm,"1,227 - 1,325m",rating-1,rating-2,615550
['Oeschiwald-Rundweg'],['easy'],['Hiking'],2.89km,00:46h,58hm,"1,171 - 1,227m",rating-,rating-1,733532
['Abstieg Bachlitalhutte'],['easy'],['Hiking'],4.44km,01:23h,31hm,"1,755 - 2,309m",rating-1,rating-1,689626
['Single Trail ab Herzogenbuchsee'],['medium'],['Mountainbike'],24.45km,02:28h,304hm,449 - 606m,rating-4,rating-4,619582
['Trailrunning Eggli (Gstaad)'],['easy'],['Trailrunning'],7.29km,01:45h,533hm,"1,026 - 1,557m",rating-2,rating-2,274936
['Natura Trail Chasseral - 2'],['medium'],['Thematic route'],11.66km,08:00h,630hm,"1,008 - 1,607m",rating-,rating-4,75548
['Wanderung an der Zulg'],['easy'],['Hiking'],9.2km,02:39h,341hm,555 - 630m,rating-,rating-1,463065
['Kleine Scheidegg - Eigergletscher - Alpiglen (37 Jungfrau Eiger Walk + 36 Eiger Trail)'],['medium'],['Hiking'],9.93km,03:35h,340hm,"1,610 - 2,294m",rating-3,rating-3,783969
['Zulligenbächli-Spaziergang Oeschenbach'],['easy'],['Hiking'],3.03km,00:41h,128hm,653 - 782m,rating-1,rating-1,573723
['Grindelwald-Berghütte Bäreck'],['medium'],['Hiking'],13.33km,03:40h,909hm,"998 - 1,775m",rating-3,rating-4,488618
"['Adelboden, Engstligen Alp and Engsligen Grat']",['medium'],['Hiking'],15.16km,05:19h,"1,347hm","1,382 - 2,653m",rating-2,rating-4,442776
['GrimmialpBike'],['medium'],['Mountainbike'],18.48km,02:45h,662hm,"1,126 - 1,459m",rating-3,rating-2,287887
['Elebnisweg Bruchmandli - Jaunpass'],['easy'],['Thematic route'],0.85km,00:30h,30hm,"1,504 - 1,531m",rating-1,rating-1,57157
['Gstaad – Arnensee - Gstaad'],['medium'],['Cycling'],29.15km,02:30h,595hm,"1,041 - 1,545m",rating-3,rating-4,421194
['Jerusalemweg: Amsoldingen - Interlaken'],['difficult'],['Pilgrimage'],29.66km,08:15h,566hm,558 - 732m,rating-1,rating-6,131304
['Lötschberg - Jura Etappe 1 Kandersteg - Frutigen - Reichenbach'],[],['Cycling'],18.16km,01:15h,380hm,"706 - 1,186m",rating-,rating-0,870925
['E-Bike-Parktour Diemtigtal'],['medium'],['Cycling'],34.05km,04:00h,823hm,"670 - 1,235m",rating-2,rating-4,69537
['Hasliberg'],['medium'],['Hiking'],17.86km,03:28h,"1,661hm","1,051 - 2,527m",rating-3,rating-3,837826
['Von Guttannen zum Triftgletscher'],['difficult'],['Hiking'],16.11km,06:13h,"1,602hm","960 - 2,571m",rating-3,rating-4,419178
['Lauterbrunnen - Schilthorn'],['medium'],['Hiking'],15.2km,06:00h,"2,190hm","855 - 2,970m",rating-3,rating-5,895528
['Chummi - Rägeboldshore'],['easy'],['Hiking'],2.59km,00:47h,352hm,"1,826 - 2,177m",rating-1,rating-1,479258
['Solothurn - Biel/Bienne'],['easy'],['Long distance cycling'],30.59km,01:13h,16hm,427 - 434m,rating-1,rating-1,185709
['Hasliberg Tschorren Feldmoos Brünig'],['medium'],['Hiking'],12.78km,02:24h,555hm,"979 - 1,351m",rating-2,rating-4,588689
['Niederönz - Oschwand - Gütsch - Niederönz'],['easy'],['E-MTB'],25.39km,01:37h,492hm,460 - 736m,rating-3,rating-3,573207
['Klusi - Wasserfall - Gaggi Säge'],['medium'],['Hiking'],4.33km,01:45h,227hm,"1,132 - 1,392m",rating-1,rating-3,614058
['Chastalet-Rundweg'],['medium'],['Thematic route'],6.5km,02:30h,341hm,"1,175 - 1,511m",rating-3,rating-4,131636
['Dörferweg: Zweisimmen - Grubenwald - Mannried - Schlatt - Zweisimmen'],['easy'],['Cycling'],11.81km,01:00h,199hm,"907 - 1,040m",rating-1,rating-2,421193
['Wunderbare Höhewanderung'],['medium'],['Hiking'],17.59km,04:43h,"1,251hm","1,434 - 2,609m",rating-4,rating-5,699632
['östlicher Oberaargau'],['medium'],['Cycling'],30.96km,02:15h,134hm,408 - 526m,rating-2,rating-3,613212
['Baumrütibächli-Weg Oeschenbach'],['easy'],['Hiking'],3.57km,00:47h,84hm,648 - 731m,rating-1,rating-1,573725
['Koboldenpfad Langenthal'],['easy'],['Thematic route'],1.05km,01:00h,25hm,481 - 502m,rating-1,rating-1,217460
['Zulligenbächli-Spaziergang Oeschenbach'],['easy'],['Hiking'],3.03km,00:41h,128hm,653 - 782m,rating-1,rating-1,573723
